R_package,method,objective_name,dimension,starting_point,lower_bound,upper_bound,max_iterations,max_evaluations,value,solution,number_of_iterations,number_of_evaluations,convergence,message,execution_time,time_units,time_cluster
stats,optim,Rosenbrock,10,"(1.75245477585122, -4.9402087694034, -4.62491177488118, 1.25219762790948, -0.35878679715097, 3.98090356728062, -1.30658474983647, 2.00293715111911, -4.89320030901581, -0.706184390000999)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",27,-,4.70333207803411,"(0.932679265298859, 0.868094074428071, 0.759796955556691, 0.578041098660347, 0.317544307042218, 0.0716333916190616, 0.0196164692376592, 0.00518755564448499, 0.0027834379658528, 0.0178213662271858)",35,35,1,NEW_X,0.0127565860748291,secs,0.01
GA,ga,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,2102.93176721951,"(1.54484720076853, -0.527123440763765, 1.51424710177895, 0.665425559304624, -0.900958582908755, 0.325140658025796, -0.0967339326481119, 0.254766562425494, 1.33825941906874, -0.3322186405954)",4,-,-,-,0.013350248336792,secs,0.01
DEoptim,DEoptim,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,3894.20332945429,"(-0.682645158376545, -1.20433411076665, 0.0503679271787405, 0.720949675887823, -1.31322611588985, -1.50901676854119, 1.37561445590109, 1.38837428856641, -0.569625108037144, -3.18642092170194)",4,10,-,-,0.011934757232666,secs,0.01
pso,psoptim,Rosenbrock,10,"(1.75245477585122, -4.9402087694034, -4.62491177488118, 1.25219762790948, -0.35878679715097, 3.98090356728062, -1.30658474983647, 2.00293715111911, -4.89320030901581, -0.706184390000999)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",14,-,1101.1645944543,"(-1.17762446936155, 0.270029668605239, 0.744515065321196, 1.39664378746779, 0.111088423488095, 0.877219445077945, -1.16672327622352, 0.665018993090888, 0.298573200042284, -0.229626685743039)",14,224,2,Maximal number of iterations reached,0.0125627517700195,secs,0.01
ABCoptim,abc_optim,Rosenbrock,10,"(1.75245477585122, -4.9402087694034, -4.62491177488118, 1.25219762790948, -0.35878679715097, 3.98090356728062, -1.30658474983647, 2.00293715111911, -4.89320030901581, -0.706184390000999)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",5,-,19.6284186690623,"(0.976917016543031, 0.887613562180807, 0.799125883189078, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526)",5,-,-,-,0.0118794441223145,secs,0.01
nloptr,sbplx,Rosenbrock,10,"(1.75245477585122, -4.9402087694034, -4.62491177488118, 1.25219762790948, -0.35878679715097, 3.98090356728062, -1.30658474983647, 2.00293715111911, -4.89320030901581, -0.706184390000999)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,180,7654.73422336634,"(0.0189522153871803, -2.96036387665789, 2.44060421747134, 1.25219762790948, 0.835215831175447, 0.695990093389279, 0.319391812663525, 0.079109026119113, -2.15800160613622, 5)",180,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0104563236236572,secs,0.01
nloptr,cobyla,Rosenbrock,10,"(1.75245477585122, -4.9402087694034, -4.62491177488118, 1.25219762790948, -0.35878679715097, 3.98090356728062, -1.30658474983647, 2.00293715111911, -4.89320030901581, -0.706184390000999)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,73310.0268069854,"(0.114181674629587, -4.60504331066925, -1.68071319508605, 0.774439142235733, 0.779394417407, -0.617637401760684, 0.274423850577869, -0.239417413471806, -4.21572380253247, 5)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0113449096679688,secs,0.01
nloptr,bobyqa,Rosenbrock,10,"(1.75245477585122, -4.9402087694034, -4.62491177488118, 1.25219762790948, -0.35878679715097, 3.98090356728062, -1.30658474983647, 2.00293715111911, -4.89320030901581, -0.706184390000999)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,22476.9958632447,"(0.14142987885981, -3.56222340875577, 0.667119565456961, 0.708946099112926, -0.621023366745385, -1.59254428294294, 0.883763037111497, -0.135546478362528, -3.43409759351511, 5)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0125617980957031,secs,0.01
stats,optim,Rosenbrock,10,"(1.68702225433663, 3.00740279955789, 4.26690442487597, -2.0068804291077, -4.69906989019364, 2.74489269126207, -3.31842748913914, 1.51365814730525, -2.67066513886675, 3.25507547706366)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",27,-,5.00928084719868,"(0.919781738376979, 0.842271326786402, 0.703732003419156, 0.492373979377745, 0.2277920654407, 0.0329071459042651, 0.0123083602845944, 0.0124106891986536, 0.0301183261525822, -0.0161427671460227)",35,35,1,NEW_X,0.0125827789306641,secs,0.01
GA,ga,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,993.05902033598,"(-0.458956775386, 0.092147874510976, -0.701323395822966, 0.271135519080452, 0.463762884535204, -0.0379601562009925, -0.558389809642274, -0.235750079060293, -0.0884332392737736, 2.90348568694978)",4,-,-,-,0.0102658271789551,secs,0.01
DEoptim,DEoptim,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,4338.59990355274,"(-0.773519705981016, 0.332556452080607, -0.196029300242662, -0.11629393696785, 0.284897515084594, -1.2738004126586, -2.32276649028063, 0.452560319099575, 1.18792318506166, 1.10737692331895)",4,10,-,-,0.0082855224609375,secs,0.01
pso,psoptim,Rosenbrock,10,"(1.68702225433663, 3.00740279955789, 4.26690442487597, -2.0068804291077, -4.69906989019364, 2.74489269126207, -3.31842748913914, 1.51365814730525, -2.67066513886675, 3.25507547706366)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",14,-,303.812629654736,"(-0.0275189145423968, 0.721144991773548, 0.870846152943626, 0.52873994373553, -0.675169617244478, 0.384624483935246, 0.368691479626238, 0.578621581586442, -0.283357157834326, -0.775368783418674)",14,224,2,Maximal number of iterations reached,0.00978755950927734,secs,0.01
