R_package,method,objective_name,dimension,starting_point,lower_bound,upper_bound,max_iterations,max_evaluations,value,solution,number_of_iterations,number_of_evaluations,convergence,message,execution_time,time_units,time_cluster
ABCoptim,abc_optim,Rosenbrock,10,"(1.68702225433663, 3.00740279955789, 4.26690442487597, -2.0068804291077, -4.69906989019364, 2.74489269126207, -3.31842748913914, 1.51365814730525, -2.67066513886675, 3.25507547706366)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",5,-,25.1017729169507,"(0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.838892524571795, 0.789473684210526)",5,-,-,-,0.0134661197662354,secs,0.01
nloptr,sbplx,Rosenbrock,10,"(1.68702225433663, 3.00740279955789, 4.26690442487597, -2.0068804291077, -4.69906989019364, 2.74489269126207, -3.31842748913914, 1.51365814730525, -2.67066513886675, 3.25507547706366)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,180,1218.58570753609,"(1.35843940513797, 1.50627197751607, 1.04760938924084, 0.180619570892304, -1.34679576422421, 1.40380310136011, 1.61162232081704, 0.295111599607891, -1.35909920102077, 1.97216481739891)",180,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0121824741363525,secs,0.01
nloptr,cobyla,Rosenbrock,10,"(1.68702225433663, 3.00740279955789, 4.26690442487597, -2.0068804291077, -4.69906989019364, 2.74489269126207, -3.31842748913914, 1.51365814730525, -2.67066513886675, 3.25507547706366)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,1757.44158879604,"(1.03616776459309, 1.00375602977624, 0.98398369819469, 0.232730574292976, -2.12467709504447, 1.53362481918483, 1.04046776536991, 0.175710013408571, -0.607918420830035, 0.923549914788609)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0132486820220947,secs,0.01
nloptr,bobyqa,Rosenbrock,10,"(1.68702225433663, 3.00740279955789, 4.26690442487597, -2.0068804291077, -4.69906989019364, 2.74489269126207, -3.31842748913914, 1.51365814730525, -2.67066513886675, 3.25507547706366)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,54.531079820239,"(0.278029645645396, 0.450751861493659, 0.20215612851062, -0.0588993050640741, -0.266766928799152, 0.122822396640898, -0.301245299734447, 0.398656813231364, 0.313449092230483, -0.0649494199214517)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0100505352020264,secs,0.01
stats,optim,Rosenbrock,10,"(1.12430948298424, -1.86328537296504, 1.77567494334653, 0.330963213928044, -4.17541300412267, 0.458899100776762, 2.28156827623025, -2.6323882304132, 3.58560812659562, 3.95875024609268)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",27,-,8.19812363394488,"(0.372650364883236, 0.111955027659907, 0.013480796186528, 0.0103871288193238, 0.00722118025030941, 0.0132861987060075, 0.0183141808030609, 0.0183493385884351, -0.00242357150735403, -0.00185403178408352)",36,36,1,NEW_X,0.0104944705963135,secs,0.01
GA,ga,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,949.452820504441,"(0.576281503625015, -0.266383389303336, 1.09762202317505, 0.316608588327923, 0.636088739216121, -0.8677138345886, -0.0566275893765598, 0.98241126825774, -0.725610768608967, 1.42925803510146)",4,-,-,-,0.00988006591796875,secs,0.01
DEoptim,DEoptim,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,9751.27979564922,"(-0.434959915000945, 2.27060024198145, 1.75413181520998, 0.757877377290279, -1.2540375883691, -0.759845864959061, -2.87947130156681, 1.34197013543919, -0.430688376426697, 1.57407871820033)",4,10,-,-,0.0111324787139893,secs,0.01
pso,psoptim,Rosenbrock,10,"(1.12430948298424, -1.86328537296504, 1.77567494334653, 0.330963213928044, -4.17541300412267, 0.458899100776762, 2.28156827623025, -2.6323882304132, 3.58560812659562, 3.95875024609268)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",14,-,945.16066878007,"(-0.987978420976002, -0.015792572632541, -0.373147233549959, -1.29610517816835, 1.10971608784322, 0.751776106153531, 0.0137482019488133, -0.312387832831614, -2.11286985351559, 4.88733576855546)",14,224,2,Maximal number of iterations reached,0.0122599601745605,secs,0.01
ABCoptim,abc_optim,Rosenbrock,10,"(1.12430948298424, -1.86328537296504, 1.77567494334653, 0.330963213928044, -4.17541300412267, 0.458899100776762, 2.28156827623025, -2.6323882304132, 3.58560812659562, 3.95875024609268)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",5,-,25.2605796456443,"(0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526)",5,-,-,-,0.0102908611297607,secs,0.01
nloptr,sbplx,Rosenbrock,10,"(1.12430948298424, -1.86328537296504, 1.77567494334653, 0.330963213928044, -4.17541300412267, 0.458899100776762, 2.28156827623025, -2.6323882304132, 3.58560812659562, 3.95875024609268)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,180,209.952772760519,"(-0.754287092578769, 0.51405809707457, 0.599364894873632, 0.194244463928044, -1.12716306305194, 1.18743691556431, 1.34645369221785, 1.69687933289059, 2.32244161681565, 5)",180,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00924944877624512,secs,0.01
nloptr,cobyla,Rosenbrock,10,"(1.12430948298424, -1.86328537296504, 1.77567494334653, 0.330963213928044, -4.17541300412267, 0.458899100776762, 2.28156827623025, -2.6323882304132, 3.58560812659562, 3.95875024609268)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,247.446328119235,"(0.580980752940786, 0.359350902933406, 0.0826592301120031, -0.00602445148907949, -0.684137343859604, 0.465412928887394, 0.104332994827123, -1.21343844698918, 2.07284973969678, 4.38240468286602)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00980830192565918,secs,0.01
nloptr,bobyqa,Rosenbrock,10,"(1.12430948298424, -1.86328537296504, 1.77567494334653, 0.330963213928044, -4.17541300412267, 0.458899100776762, 2.28156827623025, -2.6323882304132, 3.58560812659562, 3.95875024609268)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,213.987904319737,"(-0.245101898730038, 0.17728145003254, 0.0275897061860425, 0.0316210288364506, -0.129822987777663, 0.0183325756310398, 0.00114457508473048, -1.30214490214821, 2.1974426195815, 4.96941883455903)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00927162170410156,secs,0.01
stats,optim,Rosenbrock,10,"(-2.06671030493453, 3.19078102940693, -1.00337767507881, -4.05915342038497, 0.776829107198864, -1.65533788735047, -2.69297388382256, -3.19704842753708, 2.13522218400612, 0.113017950206995)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",27,-,4.18741949408682,"(0.94875859448498, 0.91399580235666, 0.84343120697664, 0.697288420824568, 0.457010478864863, 0.188563647519208, 0.0269216169416388, 0.0151295703455533, 0.0103361308474019, 0.00373096873814339)",34,34,1,NEW_X,0.00834560394287109,secs,0.01
GA,ga,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,770.896628893981,"(-0.797993396148477, 0.968348954179221, -0.530336890170995, 0.786593592558897, -1.15641260137965, 0.148815277099721, -0.47266822788068, 0.326352901866641, -0.054758452817925, -0.439930455906647)",4,-,-,-,0.0101535320281982,secs,0.01
DEoptim,DEoptim,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,2787.98855621931,"(0.425131204538047, 0.620835354551673, -0.675576739013195, -0.308578191325068, 0.710754827596247, -1.17071175714955, -2.02090649725869, 1.49224383058026, 0.338122162502259, -0.782966754678637)",4,10,-,-,0.00942659378051758,secs,0.01
pso,psoptim,Rosenbrock,10,"(-2.06671030493453, 3.19078102940693, -1.00337767507881, -4.05915342038497, 0.776829107198864, -1.65533788735047, -2.69297388382256, -3.19704842753708, 2.13522218400612, 0.113017950206995)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",14,-,507.50257895488,"(0.414488897309911, -0.683304519079808, -0.970873527981117, 0.815365662419273, 0.314399431513885, -0.946926477654468, 0.365784366059163, 0.502835604845458, 0.9640722644733, 0.936758387914909)",14,224,2,Maximal number of iterations reached,0.0106260776519775,secs,0.01
ABCoptim,abc_optim,Rosenbrock,10,"(-2.06671030493453, 3.19078102940693, -1.00337767507881, -4.05915342038497, 0.776829107198864, -1.65533788735047, -2.69297388382256, -3.19704842753708, 2.13522218400612, 0.113017950206995)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",5,-,25.2605796456443,"(0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526)",5,-,-,-,0.00869250297546387,secs,0.01
nloptr,sbplx,Rosenbrock,10,"(-2.06671030493453, 3.19078102940693, -1.00337767507881, -4.05915342038497, 0.776829107198864, -1.65533788735047, -2.69297388382256, -3.19704842753708, 2.13522218400612, 0.113017950206995)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,180,917.650880146672,"(-0.0665328628754839, 0.0105133076613129, -0.0103897888642733, -1.08203218184002, 1.81595518470538, 1.04640081968286, -0.124604965421895, -0.928466982303, 0.885887235462848, 0.88675646963277)",180,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0144064426422119,secs,0.01
nloptr,cobyla,Rosenbrock,10,"(-2.06671030493453, 3.19078102940693, -1.00337767507881, -4.05915342038497, 0.776829107198864, -1.65533788735047, -2.69297388382256, -3.19704842753708, 2.13522218400612, 0.113017950206995)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,139.936198510596,"(0.174130228745329, 0.0648791832164783, 0.109548119484645, -0.687133736686892, 0.547118802491207, 0.382802325423971, 0.00168684322342057, -0.786812413727072, 0.967985664005527, 1.09247811031653)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0114872455596924,secs,0.01
nloptr,bobyqa,Rosenbrock,10,"(-2.06671030493453, 3.19078102940693, -1.00337767507881, -4.05915342038497, 0.776829107198864, -1.65533788735047, -2.69297388382256, -3.19704842753708, 2.13522218400612, 0.113017950206995)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,116.542814544591,"(-0.874839777048183, 0.748417755408081, 0.543139809603276, 0.364916022586185, 0.185776820435252, 0.222303803147482, 0.0261483255799575, -0.907476340086129, 1.23776615719089, 1.68703086573243)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0134532451629639,secs,0.01
stats,optim,Rosenbrock,10,"(1.69915480539203, -4.34141830541193, 2.98427050001919, 0.994886392727494, -2.72746380418539, -3.14596481155604, -3.03753531770781, -1.42699432559311, -3.12680479604751, 4.28316109580919)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",27,-,70.9455763332143,"(0.2166012443784, 0.152689906706887, 0.448106566179054, 0.582671726257665, 0.829849810818396, 0.993598768475786, 1.06445525410916, 1.23277604701249, 1.54488589386971, 2.37777364931721)",43,43,1,NEW_X,0.0116686820983887,secs,0.01
GA,ga,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,1224.6784165839,"(-0.590214425156673, -1.59394824450594, 0.14708216393445, -0.0847486015986122, 0.278633661510281, 0.834926211095797, 1.11396305189222, 1.29180032651983, 0.401492528054605, -0.266048299534652)",4,-,-,-,0.00993108749389648,secs,0.01
DEoptim,DEoptim,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,8490.33328456785,"(-2.2271295712702, 0.697289693728089, -0.870866573601961, -2.45857182890177, -0.307515349704772, -0.558411541860551, -1.04032091097906, 0.654543985147029, 1.95315808989108, 0.802078334521502)",4,10,-,-,0.00791716575622559,secs,0.01
pso,psoptim,Rosenbrock,10,"(1.69915480539203, -4.34141830541193, 2.98427050001919, 0.994886392727494, -2.72746380418539, -3.14596481155604, -3.03753531770781, -1.42699432559311, -3.12680479604751, 4.28316109580919)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",14,-,862.96693053498,"(-0.329468737371768, 0.731239941661514, 0.38665821826317, 0.639041929092921, 1.47120177761964, 0.0819797476291193, -0.334168207478908, -0.171240058213246, 1.39402601667148, 2.566447684609)",14,224,2,Maximal number of iterations reached,0.0132312774658203,secs,0.01
ABCoptim,abc_optim,Rosenbrock,10,"(1.69915480539203, -4.34141830541193, 2.98427050001919, 0.994886392727494, -2.72746380418539, -3.14596481155604, -3.03753531770781, -1.42699432559311, -3.12680479604751, 4.28316109580919)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",5,-,25.2605796456443,"(0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526)",5,-,-,-,0.0117523670196533,secs,0.01
nloptr,sbplx,Rosenbrock,10,"(1.69915480539203, -4.34141830541193, 2.98427050001919, 0.994886392727494, -2.72746380418539, -3.14596481155604, -3.03753531770781, -1.42699432559311, -3.12680479604751, 4.28316109580919)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,180,17.144756747901,"(0.0878266803920269, -0.076396236499338, -0.0791163882359128, 0.0766887608915567, 0.0218912697937684, -0.119080930441086, 0.0959352621727995, -0.176994325593114, -0.0115235715027299, -0.00531345894607566)",180,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0102343559265137,secs,0.01
nloptr,cobyla,Rosenbrock,10,"(1.69915480539203, -4.34141830541193, 2.98427050001919, 0.994886392727494, -2.72746380418539, -3.14596481155604, -3.03753531770781, -1.42699432559311, -3.12680479604751, 4.28316109580919)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,412.173270908529,"(0.0680035896348759, -0.736397985460712, 0.577711701999379, 0.47604745264181, 0.216691629056678, 0.1519623448092, -0.0233600035398779, -0.0216974714238621, -1.76493742515168, 3.63135476930217)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0116124153137207,secs,0.01
nloptr,bobyqa,Rosenbrock,10,"(1.69915480539203, -4.34141830541193, 2.98427050001919, 0.994886392727494, -2.72746380418539, -3.14596481155604, -3.03753531770781, -1.42699432559311, -3.12680479604751, 4.28316109580919)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,170,415.816749051824,"(0.236522865636708, 0.685812669036187, 0.612004266105453, 0.0652020784427574, 0.164564406759312, -0.131484843482641, -0.234935460447399, -0.106332714359126, -1.75561107478737, 3.5749693822536)",170,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0120816230773926,secs,0.01
stats,optim,Rosenbrock,10,"(2.93871980858967, -1.93271035561338, -3.87957806931809, 2.14087191969156, 4.7489199298434, -1.61897192010656, 0.482070792932063, 2.32617553556338, -4.86375839216635, -2.3720903811045)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",27,-,5.70154088287481,"(0.880102913588812, 0.76968405047984, 0.569881378424254, 0.311546487743219, 0.0700729998132834, 0.00501445846392966, 0.00649659994903748, 0.00256963877663702, 0.00906501227984714, 0.000412734420053991)",39,39,1,NEW_X,0.0155482292175293,secs,0.01
GA,ga,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,1842.0433434254,"(1.20302358450775, -0.994698311670894, -0.41888813736862, 1.06015095011181, 0.971818772401027, -0.587989052905778, -0.321254836211418, -1.23854330771438, -0.601214559873695, -0.218826469675546)",4,-,-,-,0.00943422317504883,secs,0.01
DEoptim,DEoptim,Rosenbrock,10,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",4,-,15595.7134338376,"(-2.52712095854804, 1.7524093227461, 1.75235615298152, 2.01367568457499, 2.44457620196044, 1.21284057851881, 1.00650515174493, -1.14012323552743, -2.98332001082599, -0.198037259746343)",4,10,-,-,0.00697231292724609,secs,0.01
pso,psoptim,Rosenbrock,10,"(2.93871980858967, -1.93271035561338, -3.87957806931809, 2.14087191969156, 4.7489199298434, -1.61897192010656, 0.482070792932063, 2.32617553556338, -4.86375839216635, -2.3720903811045)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",14,-,794.783307502199,"(-1.13285695700532, 0.939164373260284, -0.000386151774189103, 0.0914953791455018, 0.426056434671984, 0.348195198825456, 0.520002208107644, -1.24955109438972, -0.166953960909809, -1.08829415642685)",14,224,2,Maximal number of iterations reached,0.00919556617736816,secs,0.01
ABCoptim,abc_optim,Rosenbrock,10,"(2.93871980858967, -1.93271035561338, -3.87957806931809, 2.14087191969156, 4.7489199298434, -1.61897192010656, 0.482070792932063, 2.32617553556338, -4.86375839216635, -2.3720903811045)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",5,-,25.0658716298234,"(0.789473684210526, 0.789473684210526, 0.789473684210526, 0.801891554322189, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526)",5,-,-,-,0.0108737945556641,secs,0.01
nloptr,sbplx,Rosenbrock,10,"(2.93871980858967, -1.93271035561338, -3.87957806931809, 2.14087191969156, 4.7489199298434, -1.61897192010656, 0.482070792932063, 2.32617553556338, -4.86375839216635, -2.3720903811045)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,180,22685.3538112317,"(0.0646555656976714, -0.116414977715504, -1.25443916571583, 1.94745132324079, 4.06951485704855, 2.14789339599231, 1.44792171615745, 0.488223186081995, -1.85809560563537, 3.49281471468255)",180,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.013892650604248,secs,0.01
