R_package,method,objective_name,dimension,starting_point,lower_bound,upper_bound,max_iterations,max_evaluations,all_params,value,solution,number_of_iterations,number_of_evaluations,convergence,message,execution_time,time_units,time_cluster
pso,psoptim,Rosenbrock,20,"(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",16,-,"par = c(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 16, reltol = 0)",3927.63398805079,"(-1.34549880421701, -0.985285226708968, -0.392361122214639, 0.910973160883662, -1.33797175716323, 0.551232519677993, -1.243946400832, 0.131030809285603, -0.164376972789734, 0.318208841484284, -0.0999808267078903, -1.46125021148607, 1.68908096557235, 0.211466552865692, 0.853509704217609, 1.00662221373721, 0.921763168011948, -0.0670828709646042, -1.13045613691741, -1.09646655255046)",16,288,2,Maximal number of iterations reached,0.0297150611877441,secs,0.01
ABCoptim,abc_optim,Rosenbrock,20,"(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",8,-,"par = c(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lb = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), ub = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), criter = 2147483647, maxCycle = 8",53.1442925450183,"(0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.837036529555916, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526)",8,-,-,-,0.0115771293640137,secs,0.01
nloptr,sbplx,Rosenbrock,20,"(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,700,"x0 = c(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 700, xtol_rel = 0)",1898.65852752011,"(0.256218867832675, 0.00715522290781698, -0.0136170811062591, 0.176128538565396, -1.27314360837225, 2.14130593987559, 1.43501488600615, 0.986960947606357, 0.585899302178898, 0.0445649128804838, -0.500999688731857, 0.269705894431816, 0.0980731966882834, -1.58393352559848, 1.35299644270629, 0.729780222785183, 0.433612891534753, 0.022330460783107, 0.144858157727867, 0.202628166880459)",700,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00861883163452148,secs,0.01
nloptr,cobyla,Rosenbrock,20,"(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,250,"x0 = c(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 250, xtol_rel = 0)",126658.271748248,"(1.03825555237074, -0.891769810430882, -0.396855143849283, -0.166100157844293, -3.12941368182995, 1.50407539258096, -1.7135459558313, 0.28621719746852, -1.7492973055514, 3.06466721981453, 1.47641880817913, -0.689991334592741, -0.0810548180570687, -2.73549459503419, 2.71501717951232, -4.82831643480208, 3.54344297696848, 4.88817491185224, 2.79893050260477, 4.64632917449863)",250,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00959444046020508,secs,0.01
nloptr,bobyqa,Rosenbrock,20,"(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,250,"x0 = c(3.0561808636412, -0.26109621161595, -2.68564983038232, 2.47680651489645, -4.6741405618377, 0.458727909717709, 1.75765756284818, 1.90540252253413, -2.66221959376708, 4.55117506440729, -1.86388708883896, 2.40040097618476, -2.80278095044196, -4.65378800174221, 4.62583167944103, -4.93095780489966, -2.77829183731228, 4.96559159364551, -0.236001217272133, 0.441885979380459), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 250, xtol_rel = 0)",69853.9930688706,"(-0.510594277540015, -0.0460454275652897, 1.52556277497495, 0.437997533280666, -1.82195752001578, 0.587717200591349, -0.474172414266038, -0.501973356653696, -0.358277672425759, 1.37516818378727, 1.14720516257161, -1.29038775469525, 0.451917286175391, -1.12566706814526, 0.242032470610615, -4.62096638650141, 2.43503555773238, 4.39600304882649, 3.04133428852988, 4.98560179423921)",250,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0107159614562988,secs,0.01
stats,optim,Rosenbrock,20,"(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",300,-,"par = c(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, method = L-BFGS-B, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 300, factr = 0)",1.25802406017378e-07,"(0.99999867636905, 0.999998344625088, 0.999998179216093, 0.999998092793468, 0.999998043667189, 0.999998005469003, 0.99999796079514, 0.99999788653102, 0.999997740908526, 0.999997459356788, 0.999996889670808, 0.999995751478312, 0.999993465883025, 0.999988880808442, 0.999979680123925, 0.999961215914291, 0.999924168704312, 0.999849830244815, 0.999700673474825, 0.999401437843829)",346,346,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.166974306106567,secs,0.1
GA,ga,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",60,-,"type = real-valued, fitness = function (x) 
{
    return(-Rosenbrock(x))
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), maxiter = 60",259.020979762786,"(-0.781603205958928, 0.974972991431033, 0.676196319832213, -0.075248698823619, 0.401901153503738, 0.0295207557409683, -0.197308266581755, 0.389138416997439, 0.482360873036883, 0.619183303841636, 0.322958837102803, -0.0155951466137323, -0.100957800279704, -0.502309717167562, -0.170470299559659, -0.811556083564279, 0.393476300455148, 0.0968107074109798, -0.194167627938413, -0.0643666398049205)",60,-,-,-,0.127127408981323,secs,0.1
DEoptim,DEoptim,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",30,-,"fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(itermax = 30, reltol = 0)",3180.51255364875,"(-0.150357936704379, 0.789339335169643, 1.2550313193351, 0.472809188067913, 0.327166952072829, -1.55514409799561, 2.24756225558743, 1.32678931992844, -0.0697427070699632, -0.843073336873204, -0.512707091774792, 0.940467744600028, -0.323468075599521, -0.558145921584218, -0.311086935868114, 0.134594014380127, -0.280972992540001, -1.25604829285294, 0.774321004282683, -0.738798599112034)",30,62,-,-,0.0790219306945801,secs,0.1
pso,psoptim,Rosenbrock,20,"(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",150,-,"par = c(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 150, reltol = 0)",23.8767697004602,"(0.83889676415374, 0.752886687336986, 0.683177667409768, 0.615580590673971, 0.389684430053582, 0.188616740274285, 0.0513598001123471, 0.0662116566144339, -0.103816081491715, 0.0803321446530495, 0.129063141110246, 0.0128074731509318, 0.0167963439128596, 0.0108173704676304, 0.0136914216815755, -0.0278247593873367, -0.0424521746320572, 0.0042190031635105, 0.148580443075611, -0.00762335959743957)",150,2700,2,Maximal number of iterations reached,0.440029859542847,secs,0.1
ABCoptim,abc_optim,Rosenbrock,20,"(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",70,-,"par = c(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lb = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), ub = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), criter = 2147483647, maxCycle = 70",27.5938565514232,"(0.578052532471572, 0.263157894736842, 0.185088544691863, -0.120305102318526, 0.0847636738982634, 0.0283103137966507, 0.0263210150517666, -0.081794281129505, 0.0495620037054713, 0.0560674424234184, -0.0172291989319249, 0.10437921686848, 0.0246414672093167, 0.0279160327275214, 0.0841162966466259, -0.0252173738063956, 0.0145382091365049, 0.143274041405978, 0.0287835361865321, 0.0961015504871303)",70,-,-,-,0.0868866443634033,secs,0.1
nloptr,sbplx,Rosenbrock,20,"(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,9000,"x0 = c(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 9000, xtol_rel = 0)",91.0077379751501,"(0.952630452043055, 0.907276515060926, 0.826771442362798, 0.684467067117068, 0.477898006188497, 0.232906842294228, 0.0648750276259359, 0.0143351250092342, 0.0103078946937777, 0.0101166123132706, 0.0101299149986046, 0.0103090475492059, 0.0100871821164569, 0.00423981436586711, -0.653369951650533, 0.938913067829492, 1.15409863476514, 1.45055603440581, 2.14350891941842, 4.60653269780915)",9000,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.154449224472046,secs,0.1
nloptr,cobyla,Rosenbrock,20,"(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,3000,"x0 = c(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 3000, xtol_rel = 0)",179.282600798193,"(0.903048613859772, 0.822411370561899, 0.663254556587359, 0.470877365470529, 0.235974687380048, 0.0490525925560239, 0.0114017377853277, 0.0362988605979038, -0.00868287363553293, -0.00500082038557243, 0.026564207039238, 0.00988351722067789, -0.0062946874906158, -0.000540720022001435, -1.22143080601048, 1.16726143705343, 1.19115755759449, 1.33437491385907, 1.7834412650953, 3.18767130038415)",3000,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.103229284286499,secs,0.1
nloptr,bobyqa,Rosenbrock,20,"(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,2500,"x0 = c(2.04095009481534, 3.16036521224305, -1.93903133738786, 1.53957514092326, 1.49120514746755, 1.9516289443709, -3.24453760171309, -0.613630921579897, -0.844352096319199, 0.728834944311529, 0.152310361154377, -3.24523183982819, 0.811659719329327, 3.53753912495449, -4.8171124025248, -1.09232369577512, 4.38272292260081, 1.73560156021267, 3.72921839356422, 0.775722798425704), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 2500, xtol_rel = 0)",28.0240165267826,"(0.681058671941784, 0.463993353109239, 0.200203767971068, 0.056091172960376, 4.21725233233985e-05, -0.00950448742093768, 0.0538418611317413, 0.010580991848245, 0.00831225733976089, -0.00753552352136214, -0.00868555561692005, 0.0779074820159822, -0.0123644579284408, 0.0214518073908432, -0.308127064356909, 0.102975684991052, -0.025834857902442, 0.0302556128471619, -0.0126335380453046, 0.00485659043185867)",2500,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0996077060699463,secs,0.1
stats,optim,Rosenbrock,20,"(-4.68098493525758, -2.5356485764496, 2.13732741074637, 1.66381025221199, 2.7272146102041, 3.87337861582637, -2.10107819875702, -2.8423688118346, 4.37933428678662, -1.13564573694021, -2.33383940067142, 0.514839205425233, -0.307751756627113, -2.90725226514041, 2.62896589469165, 3.50413927342743, -0.57788445148617, -0.567876743152738, -4.56915876595303, -0.864968099631369)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",300,-,"par = c(-4.68098493525758, -2.5356485764496, 2.13732741074637, 1.66381025221199, 2.7272146102041, 3.87337861582637, -2.10107819875702, -2.8423688118346, 4.37933428678662, -1.13564573694021, -2.33383940067142, 0.514839205425233, -0.307751756627113, -2.90725226514041, 2.62896589469165, 3.50413927342743, -0.57788445148617, -0.567876743152738, -4.56915876595303, -0.864968099631369), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, method = L-BFGS-B, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 300, factr = 0)",1.25379132954979e-07,"(0.999998697439383, 0.999998377221032, 0.999998230630283, 0.999998162599818, 0.999998125595246, 0.999998106934277, 0.999998052758853, 0.999997953723935, 0.999997821376923, 0.999997492499159, 0.999996936837854, 0.999995793486664, 0.999993479153586, 0.999988892141828, 0.999979665809876, 0.999961203965093, 0.99992418998876, 0.999849925004082, 0.99970091536423, 0.999401952749967)",184,184,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.0675358772277832,secs,0.1
GA,ga,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",60,-,"type = real-valued, fitness = function (x) 
{
    return(-Rosenbrock(x))
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), maxiter = 60",264.138495723408,"(0.462002731307011, -0.0100040417234147, 0.0342972330948887, -0.956607137609232, 0.838630575802158, 0.494354193686111, 0.534302236046642, 0.284895705107912, -0.143366671384075, -0.0135704187460814, 0.198287654294969, 0.510012722612113, 0.535897593715623, -0.216686193441544, -0.304842301530208, -0.00684556077948846, 0.502862983516806, -0.071979455815723, 0.00392366061270102, 0.483755111717118)",60,-,-,-,0.133105278015137,secs,0.1
DEoptim,DEoptim,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",30,-,"fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(itermax = 30, reltol = 0)",5868.27876175197,"(-1.43070805119351, -0.319560577627271, -1.35997488198802, -0.832132554259151, -0.0556558073575797, 0.437324347927719, 0.743142678692937, -0.195305024757981, 1.74366361631081, 0.75630129814297, -1.91574631724507, -0.744423875119537, 0.378393300493121, 1.43334842550661, 1.35027467176408, 0.231235028887242, -0.19152534731105, -1.25119153410196, 0.512702586129308, 0.887257174832375)",30,62,-,-,0.0858180522918701,secs,0.1
